#    L    TT             EE             BB             TE          
   224    0.56388E+04    0.10072E+01    0.16005E-01    0.22122E+02
   225    0.56360E+04    0.10394E+01    0.16158E-01    0.23743E+02
   226    0.56325E+04    0.10734E+01    0.16311E-01    0.25370E+02
   227    0.56284E+04    0.11090E+01    0.16464E-01    0.27005E+02
   228    0.56237E+04    0.11464E+01    0.16618E-01    0.28646E+02
   229    0.56185E+04    0.11856E+01    0.16771E-01    0.30291E+02
   230    0.56126E+04    0.12266E+01    0.16926E-01    0.31942E+02
   231    0.56060E+04    0.12695E+01    0.17080E-01    0.33597E+02
   232    0.55989E+04    0.13142E+01    0.17235E-01    0.35255E+02
   233    0.55911E+04    0.13609E+01    0.17390E-01    0.36914E+02
   234    0.55827E+04    0.14095E+01    0.17545E-01    0.38576E+02
   235    0.55737E+04    0.14600E+01    0.17701E-01    0.40239E+02
   236    0.55641E+04    0.15125E+01    0.17856E-01    0.41902E+02
   237    0.55538E+04    0.15670E+01    0.18012E-01    0.43565E+02
   238    0.55430E+04    0.16236E+01    0.18168E-01    0.45227E+02
   239    0.55316E+04    0.16822E+01    0.18324E-01    0.46887E+02
   240    0.55195E+04    0.17428E+01    0.18481E-01    0.48544E+02
   241    0.55070E+04    0.18055E+01    0.18637E-01    0.50198E+02
   242    0.54938E+04    0.18703E+01    0.18793E-01    0.51848E+02
   243    0.54801E+04    0.19372E+01    0.18950E-01    0.53493E+02
   244    0.54657E+04    0.20062E+01    0.19106E-01    0.55133E+02
   245    0.54508E+04    0.20774E+01    0.19263E-01    0.56766E+02
   246    0.54353E+04    0.21508E+01    0.19419E-01    0.58393E+02
   247    0.54193E+04    0.22262E+01    0.19576E-01    0.60012E+02
   248    0.54028E+04    0.23041E+01    0.19732E-01    0.61622E+02
   249    0.53857E+04    0.23839E+01    0.19888E-01    0.63224E+02
   250    0.53681E+04    0.24662E+01    0.20045E-01    0.64815E+02
   251    0.53500E+04    0.25505E+01    0.20201E-01    0.66397E+02
   252    0.53313E+04    0.26371E+01    0.20357E-01    0.67967E+02
   253    0.53122E+04    0.27258E+01    0.20513E-01    0.69525E+02
   254    0.52926E+04    0.28168E+01    0.20668E-01    0.71070E+02
   255    0.52724E+04    0.29100E+01    0.20824E-01    0.72602E+02
   256    0.52518E+04    0.30056E+01    0.20979E-01    0.74122E+02
   257    0.52308E+04    0.31032E+01    0.21134E-01    0.75621E+02
   258    0.52092E+04    0.32032E+01    0.21289E-01    0.77112E+02
   259    0.51872E+04    0.33054E+01    0.21443E-01    0.78580E+02
   260    0.51648E+04    0.34098E+01    0.21598E-01    0.80040E+02
   261    0.51419E+04    0.35164E+01    0.21752E-01    0.81470E+02
   262    0.51184E+04    0.36253E+01    0.21905E-01    0.82891E+02
   263    0.50949E+04    0.37364E+01    0.22058E-01    0.84297E+02
   264    0.50707E+04    0.38497E+01    0.22211E-01    0.85680E+02
   265    0.50460E+04    0.39651E+01    0.22364E-01    0.87033E+02
   266    0.50210E+04    0.40829E+01    0.22516E-01    0.88378E+02
   267    0.49955E+04    0.42027E+01    0.22668E-01    0.89692E+02
   268    0.49696E+04    0.43249E+01    0.22819E-01    0.90991E+02
   269    0.49433E+04    0.44491E+01    0.22970E-01    0.92267E+02
   270    0.49167E+04    0.45754E+01    0.23121E-01    0.93521E+02
   271    0.48896E+04    0.47039E+01    0.23271E-01    0.94751E+02
   272    0.48623E+04    0.48346E+01    0.23420E-01    0.95951E+02
   273    0.48346E+04    0.49672E+01    0.23570E-01    0.97136E+02
   274    0.48066E+04    0.51020E+01    0.23718E-01    0.98284E+02
   275    0.47783E+04    0.52388E+01    0.23866E-01    0.99416E+02
   276    0.47497E+04    0.53775E+01    0.24014E-01    0.10051E+03
   277    0.47207E+04    0.55184E+01    0.24161E-01    0.10159E+03
   278    0.46914E+04    0.56612E+01    0.24308E-01    0.10263E+03
   279    0.46619E+04    0.58059E+01    0.24454E-01    0.10364E+03
   280    0.46321E+04    0.59525E+01    0.24599E-01    0.10464E+03
   281    0.46021E+04    0.61011E+01    0.24744E-01    0.10560E+03
   282    0.45717E+04    0.62513E+01    0.24889E-01    0.10653E+03
   283    0.45412E+04    0.64035E+01    0.25033E-01    0.10742E+03
   284    0.45104E+04    0.65575E+01    0.25176E-01    0.10829E+03
   285    0.44794E+04    0.67133E+01    0.25319E-01    0.10913E+03
   286    0.44482E+04    0.68708E+01    0.25461E-01    0.10993E+03
   287    0.44167E+04    0.70299E+01    0.25602E-01    0.11071E+03
   288    0.43851E+04    0.71907E+01    0.25743E-01    0.11145E+03
   289    0.43533E+04    0.73532E+01    0.25884E-01    0.11216E+03
   290    0.43213E+04    0.75170E+01    0.26023E-01    0.11284E+03
   291    0.42892E+04    0.76831E+01    0.26162E-01    0.11348E+03
   292    0.42566E+04    0.78502E+01    0.26301E-01    0.11409E+03
   293    0.42242E+04    0.80180E+01    0.26439E-01    0.11466E+03
   294    0.41916E+04    0.81880E+01    0.26576E-01    0.11521E+03
   295    0.41590E+04    0.83587E+01    0.26713E-01    0.11571E+03
   296    0.41261E+04    0.85316E+01    0.26848E-01    0.11618E+03
   297    0.40932E+04    0.87045E+01    0.26984E-01    0.11662E+03
   298    0.40600E+04    0.88795E+01    0.27118E-01    0.11702E+03
   299    0.40269E+04    0.90560E+01    0.27252E-01    0.11738E+03
   300    0.39936E+04    0.92324E+01    0.27386E-01    0.11770E+03
   301    0.39603E+04    0.94102E+01    0.27518E-01    0.11800E+03
   302    0.39269E+04    0.95888E+01    0.27650E-01    0.11826E+03
   303    0.38935E+04    0.97688E+01    0.27782E-01    0.11848E+03
   304    0.38601E+04    0.99502E+01    0.27913E-01    0.11865E+03
   305    0.38267E+04    0.10132E+02    0.28043E-01    0.11880E+03
   306    0.37931E+04    0.10314E+02    0.28172E-01    0.11891E+03
   307    0.37596E+04    0.10496E+02    0.28301E-01    0.11897E+03
   308    0.37262E+04    0.10681E+02    0.28429E-01    0.11901E+03
   309    0.36928E+04    0.10865E+02    0.28556E-01    0.11900E+03
   310    0.36593E+04    0.11050E+02    0.28683E-01    0.11896E+03
   311    0.36259E+04    0.11236E+02    0.28809E-01    0.11887E+03
   312    0.35926E+04    0.11421E+02    0.28934E-01    0.11875E+03
   313    0.35593E+04    0.11607E+02    0.29058E-01    0.11859E+03
   314    0.35261E+04    0.11794E+02    0.29182E-01    0.11841E+03
   315    0.34930E+04    0.11980E+02    0.29306E-01    0.11817E+03
   316    0.34600E+04    0.12167E+02    0.29428E-01    0.11790E+03
   317    0.34270E+04    0.12353E+02    0.29550E-01    0.11759E+03
   318    0.33942E+04    0.12540E+02    0.29672E-01    0.11725E+03
   319    0.33614E+04    0.12727E+02    0.29792E-01    0.11687E+03
   320    0.33289E+04    0.12913E+02    0.29912E-01    0.11645E+03
   321    0.32964E+04    0.13100E+02    0.30031E-01    0.11600E+03
   322    0.32641E+04    0.13286E+02    0.30150E-01    0.11551E+03
   323    0.32319E+04    0.13472E+02    0.30268E-01    0.11498E+03
   324    0.31999E+04    0.13658E+02    0.30386E-01    0.11440E+03
   325    0.31681E+04    0.13841E+02    0.30502E-01    0.11381E+03
   326    0.31364E+04    0.14026E+02    0.30618E-01    0.11316E+03
   327    0.31050E+04    0.14210E+02    0.30734E-01    0.11248E+03
   328    0.30737E+04    0.14392E+02    0.30849E-01    0.11177E+03
   329    0.30427E+04    0.14574E+02    0.30963E-01    0.11102E+03
   330    0.30118E+04    0.14755E+02    0.31077E-01    0.11023E+03
   331    0.29813E+04    0.14935E+02    0.31190E-01    0.10942E+03
   332    0.29509E+04    0.15115E+02    0.31303E-01    0.10857E+03
   333    0.29207E+04    0.15293E+02    0.31415E-01    0.10769E+03
   334    0.28908E+04    0.15470E+02    0.31526E-01    0.10677E+03
   335    0.28611E+04    0.15646E+02    0.31637E-01    0.10581E+03
   336    0.28317E+04    0.15820E+02    0.31748E-01    0.10482E+03
   337    0.28026E+04    0.15994E+02    0.31858E-01    0.10379E+03
   338    0.27737E+04    0.16165E+02    0.31968E-01    0.10274E+03
   339    0.27452E+04    0.16336E+02    0.32077E-01    0.10165E+03
   340    0.27169E+04    0.16505E+02    0.32185E-01    0.10054E+03
   341    0.26889E+04    0.16672E+02    0.32293E-01    0.99382E+02
   342    0.26612E+04    0.16839E+02    0.32401E-01    0.98197E+02
   343    0.26338E+04    0.17002E+02    0.32509E-01    0.96983E+02
   344    0.26068E+04    0.17164E+02    0.32616E-01    0.95740E+02
   345    0.25800E+04    0.17324E+02    0.32722E-01    0.94467E+02
   346    0.25536E+04    0.17483E+02    0.32829E-01    0.93172E+02
   347    0.25275E+04    0.17639E+02    0.32935E-01    0.91841E+02
   348    0.25017E+04    0.17793E+02    0.33040E-01    0.90480E+02
   349    0.24763E+04    0.17945E+02    0.33146E-01    0.89090E+02
   350    0.24512E+04    0.18094E+02    0.33251E-01    0.87679E+02
   351    0.24267E+04    0.18241E+02    0.33356E-01    0.86238E+02
   352    0.24023E+04    0.18387E+02    0.33460E-01    0.84767E+02
   353    0.23783E+04    0.18529E+02    0.33565E-01    0.83283E+02
   354    0.23547E+04    0.18669E+02    0.33669E-01    0.81761E+02
   355    0.23315E+04    0.18807E+02    0.33773E-01    0.80218E+02
   356    0.23086E+04    0.18942E+02    0.33877E-01    0.78661E+02
   357    0.22861E+04    0.19075E+02    0.33981E-01    0.77074E+02
   358    0.22641E+04    0.19203E+02    0.34085E-01    0.75473E+02
   359    0.22424E+04    0.19330E+02    0.34188E-01    0.73843E+02
   360    0.22211E+04    0.19454E+02    0.34292E-01    0.72194E+02
   361    0.22002E+04    0.19575E+02    0.34396E-01    0.70524E+02
   362    0.21797E+04    0.19693E+02    0.34499E-01    0.68833E+02
   363    0.21596E+04    0.19809E+02    0.34603E-01    0.67126E+02
   364    0.21400E+04    0.19921E+02    0.34706E-01    0.65397E+02
   365    0.21207E+04    0.20030E+02    0.34810E-01    0.63653E+02
   366    0.21019E+04    0.20136E+02    0.34913E-01    0.61892E+02
   367    0.20835E+04    0.20238E+02    0.35017E-01    0.60114E+02
   368    0.20654E+04    0.20337E+02    0.35121E-01    0.58323E+02
   369    0.20479E+04    0.20433E+02    0.35225E-01    0.56515E+02
   370    0.20307E+04    0.20526E+02    0.35329E-01    0.54695E+02
   371    0.20140E+04    0.20615E+02    0.35433E-01    0.52861E+02
   372    0.19977E+04    0.20701E+02    0.35538E-01    0.51015E+02
   373    0.19818E+04    0.20783E+02    0.35642E-01    0.49157E+02
   374    0.19664E+04    0.20862E+02    0.35747E-01    0.47288E+02
   375    0.19513E+04    0.20938E+02    0.35852E-01    0.45410E+02
   376    0.19367E+04    0.21010E+02    0.35957E-01    0.43522E+02
   377    0.19226E+04    0.21079E+02    0.36063E-01    0.41627E+02
   378    0.19089E+04    0.21143E+02    0.36168E-01    0.39723E+02
   379    0.18956E+04    0.21204E+02    0.36274E-01    0.37813E+02
   380    0.18829E+04    0.21263E+02    0.36381E-01    0.35895E+02
   381    0.18704E+04    0.21314E+02    0.36488E-01    0.33973E+02
   382    0.18584E+04    0.21365E+02    0.36595E-01    0.32047E+02
   383    0.18469E+04    0.21410E+02    0.36702E-01    0.30116E+02
   384    0.18359E+04    0.21452E+02    0.36810E-01    0.28183E+02
   385    0.18252E+04    0.21491E+02    0.36918E-01    0.26247E+02
   386    0.18150E+04    0.21525E+02    0.37026E-01    0.24310E+02
   387    0.18052E+04    0.21556E+02    0.37135E-01    0.22372E+02
   388    0.17958E+04    0.21582E+02    0.37245E-01    0.20435E+02
   389    0.17869E+04    0.21603E+02    0.37354E-01    0.18498E+02
   390    0.17784E+04    0.21623E+02    0.37465E-01    0.16565E+02
   391    0.17703E+04    0.21637E+02    0.37576E-01    0.14632E+02
   392    0.17627E+04    0.21650E+02    0.37687E-01    0.12704E+02
   393    0.17555E+04    0.21657E+02    0.37799E-01    0.10779E+02
   394    0.17487E+04    0.21661E+02    0.37911E-01    0.88607E+01
